segment_path,target_label,source,original_file,split,start_sec,end_sec,feature_path
data\segments\esc50\1-17367-A-10_seg03.wav,Water,ESC-50,data\standardized_wav\esc50\1-17367-A-10.wav,train,3.0,5.0,data\features\esc50\1-17367-A-10_seg03.npy
data\segments\esc50\1-17565-A-12_seg00.wav,Fire,ESC-50,data\standardized_wav\esc50\1-17565-A-12.wav,train,0.0,2.0,data\features\esc50\1-17565-A-12_seg00.npy
data\segments\esc50\1-17565-A-12_seg01.wav,Fire,ESC-50,data\standardized_wav\esc50\1-17565-A-12.wav,train,1.0,3.0,data\features\esc50\1-17565-A-12_seg01.npy
data\segments\esc50\1-17565-A-12_seg02.wav,Fire,ESC-50,data\standardized_wav\esc50\1-17565-A-12.wav,train,2.0,4.0,data\features\esc50\1-17565-A-12_seg02.npy
data\segments\esc50\1-17565-A-12_seg03.wav,Fire,ESC-50,data\standardized_wav\esc50\1-17565-A-12.wav,train,3.0,5.0,data\features\esc50\1-17565-A-12_seg03.npy
data\segments\esc50\1-17742-A-12_seg00.wav,Fire,ESC-50,data\standardized_wav\esc50\1-17742-A-12.wav,train,0.0,2.0,data\features\esc50\1-17742-A-12_seg00.npy
data\segments\esc50\1-17742-A-12_seg01.wav,Fire,ESC-50,data\standardized_wav\esc50\1-17742-A-12.wav,train,1.0,3.0,data\features\esc50\1-17742-A-12_seg01.npy
data\segments\esc50\1-17742-A-12_seg02.wav,Fire,ESC-50,data\standardized_wav\esc50\1-17742-A-12.wav,train,2.0,4.0,data\features\esc50\1-17742-A-12_seg02.npy
data\segments\esc50\1-17742-A-12_seg03.wav,Fire,ESC-50,data\standardized_wav\esc50\1-17742-A-12.wav,train,3.0,5.0,data\features\esc50\1-17742-A-12_seg03.npy
data\segments\esc50\1-17808-A-12_seg00.wav,Fire,ESC-50,data\standardized_wav\esc50\1-17808-A-12.wav,train,0.0,2.0,data\features\esc50\1-17808-A-12_seg00.npy
data\segments\esc50\1-17808-A-12_seg01.wav,Fire,ESC-50,data\standardized_wav\esc50\1-17808-A-12.wav,train,1.0,3.0,data\features\esc50\1-17808-A-12_seg01.npy
data\segments\esc50\1-17808-A-12_seg02.wav,Fire,ESC-50,data\standardized_wav\esc50\1-17808-A-12.wav,train,2.0,4.0,data\features\esc50\1-17808-A-12_seg02.npy
data\segments\esc50\1-17808-A-12_seg03.wav,Fire,ESC-50,data\standardized_wav\esc50\1-17808-A-12.wav,train,3.0,5.0,data\features\esc50\1-17808-A-12_seg03.npy
data\segments\esc50\1-17808-B-12_seg00.wav,Fire,ESC-50,data\standardized_wav\esc50\1-17808-B-12.wav,train,0.0,2.0,data\features\esc50\1-17808-B-12_seg00.npy
data\segments\esc50\1-17808-B-12_seg01.wav,Fire,ESC-50,data\standardized_wav\esc50\1-17808-B-12.wav,train,1.0,3.0,data\features\esc50\1-17808-B-12_seg01.npy
data\segments\esc50\1-17808-B-12_seg02.wav,Fire,ESC-50,data\standardized_wav\esc50\1-17808-B-12.wav,train,2.0,4.0,data\features\esc50\1-17808-B-12_seg02.npy
data\segments\esc50\1-17808-B-12_seg03.wav,Fire,ESC-50,data\standardized_wav\esc50\1-17808-B-12.wav,train,3.0,5.0,data\features\esc50\1-17808-B-12_seg03.npy
data\segments\esc50\1-181071-A-40_seg00.wav,Negative,ESC-50,data\standardized_wav\esc50\1-181071-A-40.wav,train,0.0,2.0,data\features\esc50\1-181071-A-40_seg00.npy
data\segments\esc50\1-181071-A-40_seg01.wav,Negative,ESC-50,data\standardized_wav\esc50\1-181071-A-40.wav,train,1.0,3.0,data\features\esc50\1-181071-A-40_seg01.npy
data\segments\esc50\1-181071-A-40_seg02.wav,Negative,ESC-50,data\standardized_wav\esc50\1-181071-A-40.wav,train,2.0,4.0,data\features\esc50\1-181071-A-40_seg02.npy
data\segments\esc50\1-181071-A-40_seg03.wav,Negative,ESC-50,data\standardized_wav\esc50\1-181071-A-40.wav,train,3.0,5.0,data\features\esc50\1-181071-A-40_seg03.npy
data\segments\esc50\1-181071-B-40_seg00.wav,Negative,ESC-50,data\standardized_wav\esc50\1-181071-B-40.wav,train,0.0,2.0,data\features\esc50\1-181071-B-40_seg00.npy
data\segments\esc50\1-181071-B-40_seg01.wav,Negative,ESC-50,data\standardized_wav\esc50\1-181071-B-40.wav,train,1.0,3.0,data\features\esc50\1-181071-B-40_seg01.npy
data\segments\esc50\1-181071-B-40_seg02.wav,Negative,ESC-50,data\standardized_wav\esc50\1-181071-B-40.wav,train,2.0,4.0,data\features\esc50\1-181071-B-40_seg02.npy
data\segments\esc50\1-181071-B-40_seg03.wav,Negative,ESC-50,data\standardized_wav\esc50\1-181071-B-40.wav,train,3.0,5.0,data\features\esc50\1-181071-B-40_seg03.npy
data\segments\esc50\1-21189-A-10_seg00.wav,Water,ESC-50,data\standardized_wav\esc50\1-21189-A-10.wav,train,0.0,2.0,data\features\esc50\1-21189-A-10_seg00.npy
data\segments\esc50\1-21189-A-10_seg01.wav,Water,ESC-50,data\standardized_wav\esc50\1-21189-A-10.wav,train,1.0,3.0,data\features\esc50\1-21189-A-10_seg01.npy
data\segments\esc50\1-21189-A-10_seg02.wav,Water,ESC-50,data\standardized_wav\esc50\1-21189-A-10.wav,train,2.0,4.0,data\features\esc50\1-21189-A-10_seg02.npy
data\segments\esc50\1-21189-A-10_seg03.wav,Water,ESC-50,data\standardized_wav\esc50\1-21189-A-10.wav,train,3.0,5.0,data\features\esc50\1-21189-A-10_seg03.npy
data\segments\esc50\1-23222-A-19_seg00.wav,Thunder,ESC-50,data\standardized_wav\esc50\1-23222-A-19.wav,train,0.0,2.0,data\features\esc50\1-23222-A-19_seg00.npy
data\segments\esc50\1-23222-A-19_seg01.wav,Thunder,ESC-50,data\standardized_wav\esc50\1-23222-A-19.wav,train,1.0,3.0,data\features\esc50\1-23222-A-19_seg01.npy
data\segments\esc50\1-23222-A-19_seg02.wav,Thunder,ESC-50,data\standardized_wav\esc50\1-23222-A-19.wav,train,2.0,4.0,data\features\esc50\1-23222-A-19_seg02.npy
data\segments\esc50\1-23222-A-19_seg03.wav,Thunder,ESC-50,data\standardized_wav\esc50\1-23222-A-19.wav,train,3.0,5.0,data\features\esc50\1-23222-A-19_seg03.npy
data\segments\esc50\1-23222-B-19_seg00.wav,Thunder,ESC-50,data\standardized_wav\esc50\1-23222-B-19.wav,train,0.0,2.0,data\features\esc50\1-23222-B-19_seg00.npy
data\segments\esc50\1-23222-B-19_seg01.wav,Thunder,ESC-50,data\standardized_wav\esc50\1-23222-B-19.wav,train,1.0,3.0,data\features\esc50\1-23222-B-19_seg01.npy
data\segments\esc50\1-23222-B-19_seg02.wav,Thunder,ESC-50,data\standardized_wav\esc50\1-23222-B-19.wav,train,2.0,4.0,data\features\esc50\1-23222-B-19_seg02.npy
data\segments\esc50\1-23222-B-19_seg03.wav,Thunder,ESC-50,data\standardized_wav\esc50\1-23222-B-19.wav,train,3.0,5.0,data\features\esc50\1-23222-B-19_seg03.npy
data\segments\esc50\1-24524-A-19_seg00.wav,Thunder,ESC-50,data\standardized_wav\esc50\1-24524-A-19.wav,train,0.0,2.0,data\features\esc50\1-24524-A-19_seg00.npy
data\segments\esc50\1-24524-A-19_seg01.wav,Thunder,ESC-50,data\standardized_wav\esc50\1-24524-A-19.wav,train,1.0,3.0,data\features\esc50\1-24524-A-19_seg01.npy
data\segments\esc50\1-24524-A-19_seg02.wav,Thunder,ESC-50,data\standardized_wav\esc50\1-24524-A-19.wav,train,2.0,4.0,data\features\esc50\1-24524-A-19_seg02.npy
data\segments\esc50\1-24524-A-19_seg03.wav,Thunder,ESC-50,data\standardized_wav\esc50\1-24524-A-19.wav,train,3.0,5.0,data\features\esc50\1-24524-A-19_seg03.npy
data\segments\esc50\1-24524-B-19_seg00.wav,Thunder,ESC-50,data\standardized_wav\esc50\1-24524-B-19.wav,train,0.0,2.0,data\features\esc50\1-24524-B-19_seg00.npy
data\segments\esc50\1-24524-B-19_seg01.wav,Thunder,ESC-50,data\standardized_wav\esc50\1-24524-B-19.wav,train,1.0,3.0,data\features\esc50\1-24524-B-19_seg01.npy
data\segments\esc50\1-24524-B-19_seg02.wav,Thunder,ESC-50,data\standardized_wav\esc50\1-24524-B-19.wav,train,2.0,4.0,data\features\esc50\1-24524-B-19_seg02.npy
data\segments\esc50\1-24524-B-19_seg03.wav,Thunder,ESC-50,data\standardized_wav\esc50\1-24524-B-19.wav,train,3.0,5.0,data\features\esc50\1-24524-B-19_seg03.npy
data\segments\esc50\1-24524-C-19_seg00.wav,Thunder,ESC-50,data\standardized_wav\esc50\1-24524-C-19.wav,train,0.0,2.0,data\features\esc50\1-24524-C-19_seg00.npy
data\segments\esc50\1-24524-C-19_seg01.wav,Thunder,ESC-50,data\standardized_wav\esc50\1-24524-C-19.wav,train,1.0,3.0,data\features\esc50\1-24524-C-19_seg01.npy
data\segments\esc50\1-24524-C-19_seg02.wav,Thunder,ESC-50,data\standardized_wav\esc50\1-24524-C-19.wav,train,2.0,4.0,data\features\esc50\1-24524-C-19_seg02.npy
data\segments\esc50\1-24524-C-19_seg03.wav,Thunder,ESC-50,data\standardized_wav\esc50\1-24524-C-19.wav,train,3.0,5.0,data\features\esc50\1-24524-C-19_seg03.npy
data\segments\esc50\1-24796-A-47_seg00.wav,Negative,ESC-50,data\standardized_wav\esc50\1-24796-A-47.wav,train,0.0,2.0,data\features\esc50\1-24796-A-47_seg00.npy
data\segments\esc50\1-24796-A-47_seg01.wav,Negative,ESC-50,data\standardized_wav\esc50\1-24796-A-47.wav,train,1.0,3.0,data\features\esc50\1-24796-A-47_seg01.npy
data\segments\esc50\1-24796-A-47_seg02.wav,Negative,ESC-50,data\standardized_wav\esc50\1-24796-A-47.wav,train,2.0,4.0,data\features\esc50\1-24796-A-47_seg02.npy
data\segments\esc50\1-24796-A-47_seg03.wav,Negative,ESC-50,data\standardized_wav\esc50\1-24796-A-47.wav,train,3.0,5.0,data\features\esc50\1-24796-A-47_seg03.npy
data\segments\esc50\1-26222-A-10_seg00.wav,Water,ESC-50,data\standardized_wav\esc50\1-26222-A-10.wav,train,0.0,2.0,data\features\esc50\1-26222-A-10_seg00.npy
data\segments\esc50\1-26222-A-10_seg01.wav,Water,ESC-50,data\standardized_wav\esc50\1-26222-A-10.wav,train,1.0,3.0,data\features\esc50\1-26222-A-10_seg01.npy
data\segments\esc50\1-26222-A-10_seg02.wav,Water,ESC-50,data\standardized_wav\esc50\1-26222-A-10.wav,train,2.0,4.0,data\features\esc50\1-26222-A-10_seg02.npy
data\segments\esc50\1-26222-A-10_seg03.wav,Water,ESC-50,data\standardized_wav\esc50\1-26222-A-10.wav,train,3.0,5.0,data\features\esc50\1-26222-A-10_seg03.npy
data\segments\esc50\1-29532-A-16_seg00.wav,Negative,ESC-50,data\standardized_wav\esc50\1-29532-A-16.wav,train,0.0,2.0,data\features\esc50\1-29532-A-16_seg00.npy
data\segments\esc50\1-29532-A-16_seg01.wav,Negative,ESC-50,data\standardized_wav\esc50\1-29532-A-16.wav,train,1.0,3.0,data\features\esc50\1-29532-A-16_seg01.npy
data\segments\esc50\1-29532-A-16_seg02.wav,Negative,ESC-50,data\standardized_wav\esc50\1-29532-A-16.wav,train,2.0,4.0,data\features\esc50\1-29532-A-16_seg02.npy
data\segments\esc50\1-29532-A-16_seg03.wav,Negative,ESC-50,data\standardized_wav\esc50\1-29532-A-16.wav,train,3.0,5.0,data\features\esc50\1-29532-A-16_seg03.npy
data\segments\esc50\1-29561-A-10_seg00.wav,Water,ESC-50,data\standardized_wav\esc50\1-29561-A-10.wav,train,0.0,2.0,data\features\esc50\1-29561-A-10_seg00.npy
data\segments\esc50\1-29561-A-10_seg01.wav,Water,ESC-50,data\standardized_wav\esc50\1-29561-A-10.wav,train,1.0,3.0,data\features\esc50\1-29561-A-10_seg01.npy
data\segments\esc50\1-29561-A-10_seg02.wav,Water,ESC-50,data\standardized_wav\esc50\1-29561-A-10.wav,train,2.0,4.0,data\features\esc50\1-29561-A-10_seg02.npy
data\segments\esc50\1-29561-A-10_seg03.wav,Water,ESC-50,data\standardized_wav\esc50\1-29561-A-10.wav,train,3.0,5.0,data\features\esc50\1-29561-A-10_seg03.npy
data\segments\esc50\1-36929-A-47_seg00.wav,Negative,ESC-50,data\standardized_wav\esc50\1-36929-A-47.wav,train,0.0,2.0,data\features\esc50\1-36929-A-47_seg00.npy
data\segments\esc50\1-36929-A-47_seg01.wav,Negative,ESC-50,data\standardized_wav\esc50\1-36929-A-47.wav,train,1.0,3.0,data\features\esc50\1-36929-A-47_seg01.npy
data\segments\esc50\1-36929-A-47_seg02.wav,Negative,ESC-50,data\standardized_wav\esc50\1-36929-A-47.wav,train,2.0,4.0,data\features\esc50\1-36929-A-47_seg02.npy
data\segments\esc50\1-36929-A-47_seg03.wav,Negative,ESC-50,data\standardized_wav\esc50\1-36929-A-47.wav,train,3.0,5.0,data\features\esc50\1-36929-A-47_seg03.npy
data\segments\esc50\1-4211-A-12_seg00.wav,Fire,ESC-50,data\standardized_wav\esc50\1-4211-A-12.wav,train,0.0,2.0,data\features\esc50\1-4211-A-12_seg00.npy
data\segments\esc50\1-4211-A-12_seg01.wav,Fire,ESC-50,data\standardized_wav\esc50\1-4211-A-12.wav,train,1.0,3.0,data\features\esc50\1-4211-A-12_seg01.npy
data\segments\esc50\1-4211-A-12_seg02.wav,Fire,ESC-50,data\standardized_wav\esc50\1-4211-A-12.wav,train,2.0,4.0,data\features\esc50\1-4211-A-12_seg02.npy
data\segments\esc50\1-4211-A-12_seg03.wav,Fire,ESC-50,data\standardized_wav\esc50\1-4211-A-12.wav,train,3.0,5.0,data\features\esc50\1-4211-A-12_seg03.npy
data\segments\esc50\1-43807-A-47_seg00.wav,Negative,ESC-50,data\standardized_wav\esc50\1-43807-A-47.wav,train,0.0,2.0,data\features\esc50\1-43807-A-47_seg00.npy
data\segments\esc50\1-43807-A-47_seg01.wav,Negative,ESC-50,data\standardized_wav\esc50\1-43807-A-47.wav,train,1.0,3.0,data\features\esc50\1-43807-A-47_seg01.npy
data\segments\esc50\1-43807-A-47_seg02.wav,Negative,ESC-50,data\standardized_wav\esc50\1-43807-A-47.wav,train,2.0,4.0,data\features\esc50\1-43807-A-47_seg02.npy
data\segments\esc50\1-43807-A-47_seg03.wav,Negative,ESC-50,data\standardized_wav\esc50\1-43807-A-47.wav,train,3.0,5.0,data\features\esc50\1-43807-A-47_seg03.npy
data\segments\esc50\1-43807-B-47_seg00.wav,Negative,ESC-50,data\standardized_wav\esc50\1-43807-B-47.wav,train,0.0,2.0,data\features\esc50\1-43807-B-47_seg00.npy
data\segments\esc50\1-43807-B-47_seg01.wav,Negative,ESC-50,data\standardized_wav\esc50\1-43807-B-47.wav,train,1.0,3.0,data\features\esc50\1-43807-B-47_seg01.npy
data\segments\esc50\1-43807-B-47_seg02.wav,Negative,ESC-50,data\standardized_wav\esc50\1-43807-B-47.wav,train,2.0,4.0,data\features\esc50\1-43807-B-47_seg02.npy
data\segments\esc50\1-43807-B-47_seg03.wav,Negative,ESC-50,data\standardized_wav\esc50\1-43807-B-47.wav,train,3.0,5.0,data\features\esc50\1-43807-B-47_seg03.npy
data\segments\esc50\1-43807-C-47_seg00.wav,Negative,ESC-50,data\standardized_wav\esc50\1-43807-C-47.wav,train,0.0,2.0,data\features\esc50\1-43807-C-47_seg00.npy
data\segments\esc50\1-43807-C-47_seg01.wav,Negative,ESC-50,data\standardized_wav\esc50\1-43807-C-47.wav,train,1.0,3.0,data\features\esc50\1-43807-C-47_seg01.npy
data\segments\esc50\1-43807-C-47_seg02.wav,Negative,ESC-50,data\standardized_wav\esc50\1-43807-C-47.wav,train,2.0,4.0,data\features\esc50\1-43807-C-47_seg02.npy
data\segments\esc50\1-43807-C-47_seg03.wav,Negative,ESC-50,data\standardized_wav\esc50\1-43807-C-47.wav,train,3.0,5.0,data\features\esc50\1-43807-C-47_seg03.npy
data\segments\esc50\1-43807-D-47_seg00.wav,Negative,ESC-50,data\standardized_wav\esc50\1-43807-D-47.wav,train,0.0,2.0,data\features\esc50\1-43807-D-47_seg00.npy
data\segments\esc50\1-43807-D-47_seg01.wav,Negative,ESC-50,data\standardized_wav\esc50\1-43807-D-47.wav,train,1.0,3.0,data\features\esc50\1-43807-D-47_seg01.npy
data\segments\esc50\1-43807-D-47_seg02.wav,Negative,ESC-50,data\standardized_wav\esc50\1-43807-D-47.wav,train,2.0,4.0,data\features\esc50\1-43807-D-47_seg02.npy
data\segments\esc50\1-43807-D-47_seg03.wav,Negative,ESC-50,data\standardized_wav\esc50\1-43807-D-47.wav,train,3.0,5.0,data\features\esc50\1-43807-D-47_seg03.npy
data\segments\esc50\1-46272-A-12_seg00.wav,Fire,ESC-50,data\standardized_wav\esc50\1-46272-A-12.wav,train,0.0,2.0,data\features\esc50\1-46272-A-12_seg00.npy
data\segments\esc50\1-46272-A-12_seg01.wav,Fire,ESC-50,data\standardized_wav\esc50\1-46272-A-12.wav,train,1.0,3.0,data\features\esc50\1-46272-A-12_seg01.npy
data\segments\esc50\1-46272-A-12_seg02.wav,Fire,ESC-50,data\standardized_wav\esc50\1-46272-A-12.wav,train,2.0,4.0,data\features\esc50\1-46272-A-12_seg02.npy
data\segments\esc50\1-46272-A-12_seg03.wav,Fire,ESC-50,data\standardized_wav\esc50\1-46272-A-12.wav,train,3.0,5.0,data\features\esc50\1-46272-A-12_seg03.npy
