path,label,source,duration_sec,split
X:\NEU\capstone\data\segments\wildfire\y2mate.com - DD Ambience  Building on Fire  Blaze Inferno Wood Cracking Collapsing Loud Stressing_52_seg1.wav,Fire,FireDataset,5.0,test
X:\NEU\capstone\data\segments\wildfire\y2mate.com - DD Ambience  Building on Fire  Blaze Inferno Wood Cracking Collapsing Loud Stressing_39_seg5.wav,Fire,FireDataset,5.0,train
X:\NEU\capstone\data\segments\wildfire\y2mate.com - DD Ambience  Building on Fire  Blaze Inferno Wood Cracking Collapsing Loud Stressing_66_seg5.wav,Fire,FireDataset,5.0,train
X:\NEU\capstone\data\segments\wildfire\y2mate.com - DD Ambience  Building on Fire  Blaze Inferno Wood Cracking Collapsing Loud Stressing_1_53_seg5.wav,Fire,FireDataset,5.0,train
X:\NEU\capstone\data\segments\wildfire\videoplayback_69_seg0.wav,Fire,FireDataset,5.0,train
X:\NEU\capstone\data\segments\fsd50k\189299.wav,Fire,FSD50K,12.678125,train
X:\NEU\capstone\data\segments\wildfire\y2mate.com - DD Ambience  Building on Fire  Blaze Inferno Wood Cracking Collapsing Loud Stressing_26_seg2.wav,Fire,FireDataset,5.0,train
X:\NEU\capstone\data\segments\wildfire\y2mate.com - DD Ambience  Building on Fire  Blaze Inferno Wood Cracking Collapsing Loud Stressing_1_52_seg8.wav,Fire,FireDataset,5.0,train
X:\NEU\capstone\data\segments\fsd50k\187678.wav,Aircraft,FSD50K,5.8083125,train
X:\NEU\capstone\data\segments\wildfire\videoplayback_20_seg2.wav,Fire,FireDataset,5.0,train
X:\NEU\capstone\data\segments\wildfire\y2mate.com - DD Ambience  Building on Fire  Blaze Inferno Wood Cracking Collapsing Loud Stressing_38_seg1.wav,Fire,FireDataset,5.0,train
X:\NEU\capstone\data\segments\fsd50k\95105.wav,Fire,FSD50K,30.0,train
X:\NEU\capstone\data\segments\fsd50k\399210.wav,Fire,FSD50K,0.68975,train
X:\NEU\capstone\data\segments\fsd50k\155994.wav,Train,FSD50K,17.2958125,test
X:\NEU\capstone\data\segments\fsd50k\65174.wav,Fire,FSD50K,3.9930625,train
X:\NEU\capstone\data\segments\fsd50k\275491.wav,Fire,FSD50K,1.953,train
X:\NEU\capstone\data\segments\fsd50k\275600.wav,Thunder,FSD50K,12.34575,train
X:\NEU\capstone\data\segments\wildfire\y2mate.com - DD Ambience  Building on Fire  Blaze Inferno Wood Cracking Collapsing Loud Stressing_48_seg8.wav,Fire,FireDataset,5.0,train
X:\NEU\capstone\data\segments\wildfire\videoplayback_70_seg4.wav,Fire,FireDataset,5.0,train
X:\NEU\capstone\data\segments\fsd50k\369482.wav,Aircraft,FSD50K,27.24,train
X:\NEU\capstone\data\segments\wildfire\y2mate.com - DD Ambience  Building on Fire  Blaze Inferno Wood Cracking Collapsing Loud Stressing_1_48_seg7.wav,Fire,FireDataset,5.0,train
X:\NEU\capstone\data\segments\fsd50k\323426.wav,Water,FSD50K,7.6793125,train
X:\NEU\capstone\data\segments\wildfire\videoplayback_19_seg8.wav,Fire,FireDataset,5.0,val
X:\NEU\capstone\data\segments\wildfire\videoplayback_02_seg8.wav,Fire,FireDataset,5.0,train
X:\NEU\capstone\data\segments\wildfire\y2mate.com - DD Ambience  Building on Fire  Blaze Inferno Wood Cracking Collapsing Loud Stressing_04_seg1.wav,Fire,FireDataset,5.0,train
X:\NEU\capstone\data\segments\wildfire\y2mate.com - DD Ambience  Building on Fire  Blaze Inferno Wood Cracking Collapsing Loud Stressing_66_seg0.wav,Fire,FireDataset,5.0,train
X:\NEU\capstone\data\segments\wildfire\y2mate.com - DD Ambience  Building on Fire  Blaze Inferno Wood Cracking Collapsing Loud Stressing_71_seg8.wav,Fire,FireDataset,5.0,train
X:\NEU\capstone\data\segments\wildfire\y2mate.com - DD Ambience  Building on Fire  Blaze Inferno Wood Cracking Collapsing Loud Stressing_1_71_seg6.wav,Fire,FireDataset,5.0,train
X:\NEU\capstone\data\segments\wildfire\videoplayback_02_seg4.wav,Fire,FireDataset,5.0,val
X:\NEU\capstone\data\segments\fsd50k\393924.wav,Wind,FSD50K,6.1686875,train
X:\NEU\capstone\data\segments\fsd50k\196328.wav,Fire,FSD50K,8.4985,val
X:\NEU\capstone\data\segments\fsd50k\17782.wav,Fire,FSD50K,18.0,train
X:\NEU\capstone\data\segments\wildfire\y2mate.com - DD Ambience  Building on Fire  Blaze Inferno Wood Cracking Collapsing Loud Stressing_35_seg0.wav,Fire,FireDataset,5.0,train
X:\NEU\capstone\data\segments\fsd50k\121569.wav,Thunder,FSD50K,29.5504375,val
X:\NEU\capstone\data\segments\wildfire\y2mate.com - DD Ambience  Building on Fire  Blaze Inferno Wood Cracking Collapsing Loud Stressing_1_12_seg8.wav,Fire,FireDataset,5.0,val
X:\NEU\capstone\data\segments\fsd50k\399208.wav,Fire,FSD50K,1.3340625,train
X:\NEU\capstone\data\segments\wildfire\y2mate.com - DD Ambience  Building on Fire  Blaze Inferno Wood Cracking Collapsing Loud Stressing_43_seg4.wav,Fire,FireDataset,5.0,train
X:\NEU\capstone\data\segments\wildfire\y2mate.com - DD Ambience  Building on Fire  Blaze Inferno Wood Cracking Collapsing Loud Stressing_1_33_seg1.wav,Fire,FireDataset,5.0,train
X:\NEU\capstone\data\segments\fsd50k\350506.wav,Thunder,FSD50K,12.4623125,val
X:\NEU\capstone\data\segments\wildfire\y2mate.com - DD Ambience  Building on Fire  Blaze Inferno Wood Cracking Collapsing Loud Stressing_1_40_seg1.wav,Fire,FireDataset,5.0,train
X:\NEU\capstone\data\segments\wildfire\y2mate.com - DD Ambience  Building on Fire  Blaze Inferno Wood Cracking Collapsing Loud Stressing_1_62_seg0.wav,Fire,FireDataset,5.0,train
X:\NEU\capstone\data\segments\fsd50k\3202.wav,Fire,FSD50K,29.6046875,train
X:\NEU\capstone\data\segments\wildfire\y2mate.com - DD Ambience  Building on Fire  Blaze Inferno Wood Cracking Collapsing Loud Stressing_67_seg3.wav,Fire,FireDataset,5.0,test
X:\NEU\capstone\data\segments\fsd50k\16322.wav,Aircraft,FSD50K,27.256875,train
X:\NEU\capstone\data\segments\wildfire\y2mate.com - DD Ambience  Building on Fire  Blaze Inferno Wood Cracking Collapsing Loud Stressing_1_54_seg8.wav,Fire,FireDataset,5.0,train
X:\NEU\capstone\data\segments\wildfire\y2mate.com - DD Ambience  Building on Fire  Blaze Inferno Wood Cracking Collapsing Loud Stressing_52_seg4.wav,Fire,FireDataset,5.0,train
X:\NEU\capstone\data\segments\fsd50k\112684.wav,Train,FSD50K,15.0,test
X:\NEU\capstone\data\segments\fsd50k\334148.wav,Water,FSD50K,7.37125,train
X:\NEU\capstone\data\segments\fsd50k\174007.wav,Fire,FSD50K,15.0,train
X:\NEU\capstone\data\segments\wildfire\y2mate.com - DD Ambience  Building on Fire  Blaze Inferno Wood Cracking Collapsing Loud Stressing_72_seg7.wav,Fire,FireDataset,5.0,train
X:\NEU\capstone\data\segments\wildfire\y2mate.com - DD Ambience  Building on Fire  Blaze Inferno Wood Cracking Collapsing Loud Stressing_31_seg5.wav,Fire,FireDataset,5.0,train
X:\NEU\capstone\data\segments\wildfire\y2mate.com - DD Ambience  Building on Fire  Blaze Inferno Wood Cracking Collapsing Loud Stressing_1_45_seg5.wav,Fire,FireDataset,5.0,train
X:\NEU\capstone\data\segments\fsd50k\325561.wav,Fire,FSD50K,16.2405,train
X:\NEU\capstone\data\segments\fsd50k\156332.wav,Fire,FSD50K,2.32775,train
X:\NEU\capstone\data\segments\wildfire\videoplayback_50_seg2.wav,Fire,FireDataset,5.0,train
X:\NEU\capstone\data\segments\wildfire\y2mate.com - DD Ambience  Building on Fire  Blaze Inferno Wood Cracking Collapsing Loud Stressing_1_45_seg1.wav,Fire,FireDataset,5.0,train
X:\NEU\capstone\data\segments\wildfire\videoplayback_53_seg3.wav,Fire,FireDataset,5.0,train
X:\NEU\capstone\data\segments\wildfire\videoplayback_09_seg9.wav,Fire,FireDataset,5.0,train
X:\NEU\capstone\data\segments\fsd50k\100011.wav,Thunder,FSD50K,8.2474375,train
X:\NEU\capstone\data\segments\wildfire\y2mate.com - DD Ambience  Building on Fire  Blaze Inferno Wood Cracking Collapsing Loud Stressing_1_56_seg7.wav,Fire,FireDataset,5.0,train
X:\NEU\capstone\data\segments\wildfire\videoplayback_30_seg1.wav,Fire,FireDataset,5.0,val
X:\NEU\capstone\data\segments\fsd50k\234304.wav,Train,FSD50K,10.0,train
X:\NEU\capstone\data\segments\wildfire\y2mate.com - DD Ambience  Building on Fire  Blaze Inferno Wood Cracking Collapsing Loud Stressing_1_34_seg2.wav,Fire,FireDataset,5.0,train
X:\NEU\capstone\data\segments\fsd50k\386384.wav,Fire,FSD50K,1.4790625,train
X:\NEU\capstone\data\segments\fsd50k\160156.wav,Thunder,FSD50K,16.5776875,train
X:\NEU\capstone\data\segments\fsd50k\181577.wav,Fire,FSD50K,9.0495,train
X:\NEU\capstone\data\segments\wildfire\y2mate.com - DD Ambience  Building on Fire  Blaze Inferno Wood Cracking Collapsing Loud Stressing_1_58_seg3.wav,Fire,FireDataset,5.0,train
X:\NEU\capstone\data\segments\fsd50k\112799.wav,Train,FSD50K,10.7538125,train
X:\NEU\capstone\data\segments\wildfire\y2mate.com - DD Ambience  Building on Fire  Blaze Inferno Wood Cracking Collapsing Loud Stressing_40_seg0.wav,Fire,FireDataset,5.0,train
X:\NEU\capstone\data\segments\fsd50k\326727.wav,Fire,FSD50K,8.323625,train
X:\NEU\capstone\data\segments\wildfire\y2mate.com - DD Ambience  Building on Fire  Blaze Inferno Wood Cracking Collapsing Loud Stressing_1_52_seg6.wav,Fire,FireDataset,5.0,train
X:\NEU\capstone\data\segments\wildfire\y2mate.com - DD Ambience  Building on Fire  Blaze Inferno Wood Cracking Collapsing Loud Stressing_1_06_seg8.wav,Fire,FireDataset,5.0,train
X:\NEU\capstone\data\segments\fsd50k\127826.wav,Train,FSD50K,24.0,train
X:\NEU\capstone\data\segments\fsd50k\330816.wav,Aircraft,FSD50K,17.9433125,train
X:\NEU\capstone\data\segments\wildfire\y2mate.com - DD Ambience  Building on Fire  Blaze Inferno Wood Cracking Collapsing Loud Stressing_1_39_seg5.wav,Fire,FireDataset,5.0,train
X:\NEU\capstone\data\segments\wildfire\y2mate.com - DD Ambience  Building on Fire  Blaze Inferno Wood Cracking Collapsing Loud Stressing_47_seg8.wav,Fire,FireDataset,5.0,test
X:\NEU\capstone\data\segments\fsd50k\77596.wav,Thunder,FSD50K,7.7361875,train
X:\NEU\capstone\data\segments\fsd50k\233189.wav,Fire,FSD50K,16.849375,train
X:\NEU\capstone\data\segments\wildfire\y2mate.com - DD Ambience  Building on Fire  Blaze Inferno Wood Cracking Collapsing Loud Stressing_1_32_seg4.wav,Fire,FireDataset,5.0,train
X:\NEU\capstone\data\segments\fsd50k\12674.wav,Train,FSD50K,8.340375,train
X:\NEU\capstone\data\segments\fsd50k\105306.wav,Thunder,FSD50K,0.8581875,train
X:\NEU\capstone\data\segments\fsd50k\281.wav,Train,FSD50K,10.3021875,train
X:\NEU\capstone\data\segments\wildfire\y2mate.com - DD Ambience  Building on Fire  Blaze Inferno Wood Cracking Collapsing Loud Stressing_1_26_seg4.wav,Fire,FireDataset,5.0,train
X:\NEU\capstone\data\segments\wildfire\y2mate.com - DD Ambience  Building on Fire  Blaze Inferno Wood Cracking Collapsing Loud Stressing_09_seg3.wav,Fire,FireDataset,5.0,train
X:\NEU\capstone\data\segments\fsd50k\365237.wav,Fire,FSD50K,14.0,train
X:\NEU\capstone\data\segments\wildfire\videoplayback_68_seg5.wav,Fire,FireDataset,5.0,train
X:\NEU\capstone\data\segments\fsd50k\120345.wav,Water,FSD50K,23.4026875,train
X:\NEU\capstone\data\segments\wildfire\videoplayback_71_seg1.wav,Fire,FireDataset,5.0,val
X:\NEU\capstone\data\segments\wildfire\videoplayback_45_seg0.wav,Fire,FireDataset,5.0,train
X:\NEU\capstone\data\segments\fsd50k\421881.wav,Fire,FSD50K,3.1685,train
X:\NEU\capstone\data\segments\fsd50k\23288.wav,Aircraft,FSD50K,18.0,train
X:\NEU\capstone\data\segments\wildfire\videoplayback_58_seg9.wav,Fire,FireDataset,5.0,train
X:\NEU\capstone\data\segments\fsd50k\320786.wav,Aircraft,FSD50K,26.857375,train
X:\NEU\capstone\data\segments\fsd50k\125840.wav,Train,FSD50K,2.324875,train
X:\NEU\capstone\data\segments\wildfire\videoplayback_01_seg3.wav,Fire,FireDataset,5.0,train
X:\NEU\capstone\data\segments\fsd50k\213029.wav,Thunder,FSD50K,25.774125,train
X:\NEU\capstone\data\segments\fsd50k\27738.wav,Wind,FSD50K,8.4,test
X:\NEU\capstone\data\segments\fsd50k\32566.wav,Fire,FSD50K,10.8451875,val
X:\NEU\capstone\data\segments\wildfire\y2mate.com - DD Ambience  Building on Fire  Blaze Inferno Wood Cracking Collapsing Loud Stressing_53_seg3.wav,Fire,FireDataset,5.0,val
X:\NEU\capstone\data\segments\wildfire\y2mate.com - DD Ambience  Building on Fire  Blaze Inferno Wood Cracking Collapsing Loud Stressing_14_seg4.wav,Fire,FireDataset,5.0,train
X:\NEU\capstone\data\segments\wildfire\videoplayback_09_seg6.wav,Fire,FireDataset,5.0,train
X:\NEU\capstone\data\segments\fsd50k\200338.wav,Train,FSD50K,10.7805,train
X:\NEU\capstone\data\segments\wildfire\y2mate.com - DD Ambience  Building on Fire  Blaze Inferno Wood Cracking Collapsing Loud Stressing_1_50_seg2.wav,Fire,FireDataset,5.0,train
X:\NEU\capstone\data\segments\wildfire\videoplayback_15_seg3.wav,Fire,FireDataset,5.0,train
X:\NEU\capstone\data\segments\wildfire\y2mate.com - DD Ambience  Building on Fire  Blaze Inferno Wood Cracking Collapsing Loud Stressing_1_18_seg2.wav,Fire,FireDataset,5.0,train
X:\NEU\capstone\data\segments\wildfire\y2mate.com - DD Ambience  Building on Fire  Blaze Inferno Wood Cracking Collapsing Loud Stressing_1_27_seg3.wav,Fire,FireDataset,5.0,val
X:\NEU\capstone\data\segments\wildfire\videoplayback_42_seg1.wav,Fire,FireDataset,5.0,train
X:\NEU\capstone\data\segments\wildfire\y2mate.com - DD Ambience  Building on Fire  Blaze Inferno Wood Cracking Collapsing Loud Stressing_1_67_seg1.wav,Fire,FireDataset,5.0,train
X:\NEU\capstone\data\segments\wildfire\videoplayback_67_seg5.wav,Fire,FireDataset,5.0,train
X:\NEU\capstone\data\segments\wildfire\videoplayback_48_seg9.wav,Fire,FireDataset,5.0,train
X:\NEU\capstone\data\segments\wildfire\y2mate.com - DD Ambience  Building on Fire  Blaze Inferno Wood Cracking Collapsing Loud Stressing_1_23_seg2.wav,Fire,FireDataset,5.0,val
X:\NEU\capstone\data\segments\wildfire\videoplayback_08_seg7.wav,Fire,FireDataset,5.0,test
X:\NEU\capstone\data\segments\wildfire\y2mate.com - DD Ambience  Building on Fire  Blaze Inferno Wood Cracking Collapsing Loud Stressing_1_15_seg7.wav,Fire,FireDataset,5.0,train
X:\NEU\capstone\data\segments\wildfire\videoplayback_42_seg6.wav,Fire,FireDataset,5.0,test
X:\NEU\capstone\data\segments\fsd50k\423894.wav,Fire,FSD50K,9.9033125,train
X:\NEU\capstone\data\segments\fsd50k\195983.wav,Train,FSD50K,16.55725,train
X:\NEU\capstone\data\segments\fsd50k\334934.wav,Fire,FSD50K,17.4433125,test
X:\NEU\capstone\data\segments\wildfire\y2mate.com - DD Ambience  Building on Fire  Blaze Inferno Wood Cracking Collapsing Loud Stressing_68_seg2.wav,Fire,FireDataset,5.0,train
X:\NEU\capstone\data\segments\wildfire\y2mate.com - DD Ambience  Building on Fire  Blaze Inferno Wood Cracking Collapsing Loud Stressing_1_49_seg0.wav,Fire,FireDataset,5.0,train
X:\NEU\capstone\data\segments\fsd50k\394489.wav,Water,FSD50K,24.005625,test
X:\NEU\capstone\data\segments\fsd50k\17836.wav,Fire,FSD50K,14.0,test
X:\NEU\capstone\data\segments\fsd50k\339901.wav,Water,FSD50K,26.0,train
X:\NEU\capstone\data\segments\wildfire\y2mate.com - DD Ambience  Building on Fire  Blaze Inferno Wood Cracking Collapsing Loud Stressing_48_seg0.wav,Fire,FireDataset,5.0,train
X:\NEU\capstone\data\segments\wildfire\y2mate.com - DD Ambience  Building on Fire  Blaze Inferno Wood Cracking Collapsing Loud Stressing_1_29_seg1.wav,Fire,FireDataset,5.0,val
X:\NEU\capstone\data\segments\fsd50k\22930.wav,Thunder,FSD50K,15.0465,train
X:\NEU\capstone\data\segments\fsd50k\423357.wav,Train,FSD50K,2.0,train
X:\NEU\capstone\data\segments\fsd50k\16752.wav,Water,FSD50K,0.520375,train
X:\NEU\capstone\data\segments\wildfire\y2mate.com - DD Ambience  Building on Fire  Blaze Inferno Wood Cracking Collapsing Loud Stressing_1_09_seg6.wav,Fire,FireDataset,5.0,val
X:\NEU\capstone\data\segments\wildfire\y2mate.com - DD Ambience  Building on Fire  Blaze Inferno Wood Cracking Collapsing Loud Stressing_70_seg5.wav,Fire,FireDataset,5.0,train
X:\NEU\capstone\data\segments\fsd50k\251325.wav,Aircraft,FSD50K,27.629375,train
X:\NEU\capstone\data\segments\wildfire\y2mate.com - DD Ambience  Building on Fire  Blaze Inferno Wood Cracking Collapsing Loud Stressing_1_43_seg2.wav,Fire,FireDataset,5.0,train
X:\NEU\capstone\data\segments\wildfire\y2mate.com - DD Ambience  Building on Fire  Blaze Inferno Wood Cracking Collapsing Loud Stressing_1_03_seg3.wav,Fire,FireDataset,5.0,train
X:\NEU\capstone\data\segments\wildfire\y2mate.com - DD Ambience  Building on Fire  Blaze Inferno Wood Cracking Collapsing Loud Stressing_1_51_seg9.wav,Fire,FireDataset,5.0,train
X:\NEU\capstone\data\segments\wildfire\videoplayback_64_seg2.wav,Fire,FireDataset,5.0,train
X:\NEU\capstone\data\segments\wildfire\videoplayback_66_seg0.wav,Fire,FireDataset,5.0,train
X:\NEU\capstone\data\segments\wildfire\videoplayback_46_seg7.wav,Fire,FireDataset,5.0,val
X:\NEU\capstone\data\segments\wildfire\y2mate.com - DD Ambience  Building on Fire  Blaze Inferno Wood Cracking Collapsing Loud Stressing_1_30_seg1.wav,Fire,FireDataset,5.0,test
X:\NEU\capstone\data\segments\fsd50k\141440.wav,Water,FSD50K,21.5851875,val
X:\NEU\capstone\data\segments\fsd50k\135585.wav,Train,FSD50K,4.538125,train
X:\NEU\capstone\data\segments\wildfire\y2mate.com - DD Ambience  Building on Fire  Blaze Inferno Wood Cracking Collapsing Loud Stressing_49_seg9.wav,Fire,FireDataset,5.0,train
X:\NEU\capstone\data\segments\wildfire\y2mate.com - DD Ambience  Building on Fire  Blaze Inferno Wood Cracking Collapsing Loud Stressing_1_02_seg7.wav,Fire,FireDataset,5.0,train
X:\NEU\capstone\data\segments\fsd50k\250646.wav,Water,FSD50K,3.2706875,train
X:\NEU\capstone\data\segments\wildfire\videoplayback_10_seg6.wav,Fire,FireDataset,5.0,train
X:\NEU\capstone\data\segments\fsd50k\73315.wav,Water,FSD50K,3.3436875,train
X:\NEU\capstone\data\segments\wildfire\y2mate.com - DD Ambience  Building on Fire  Blaze Inferno Wood Cracking Collapsing Loud Stressing_04_seg0.wav,Fire,FireDataset,5.0,train
X:\NEU\capstone\data\segments\wildfire\y2mate.com - DD Ambience  Building on Fire  Blaze Inferno Wood Cracking Collapsing Loud Stressing_01_seg7.wav,Fire,FireDataset,5.0,test
X:\NEU\capstone\data\segments\fsd50k\237407.wav,Fire,FSD50K,2.272,val
X:\NEU\capstone\data\segments\wildfire\videoplayback_06_seg5.wav,Fire,FireDataset,5.0,train
X:\NEU\capstone\data\segments\fsd50k\195433.wav,Thunder,FSD50K,11.2159375,train
X:\NEU\capstone\data\segments\fsd50k\98205.wav,Fire,FSD50K,29.7706875,train
